Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
alexander beilinson,Russia,university of chicago,B Only,man,white,noturm,moreri,professor,moresecure,math,3528,
john p d'angelo,,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,933,
donatella danielli,,purdue university,B Only,woman,white,noturm,moreri,professor,moresecure,math,1192,
victor ginzburg,Russia,university of chicago,B Only,man,white,noturm,moreri,professor,moresecure,math,3219,
john hunter,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,1155,
peter doyle,,dartmouth college,B Only,man,white,noturm,moreri,professor,moresecure,math,524,
ilya kofman,Russia,city university of new york,B Only,man,white,noturm,moreri,professor,moresecure,math,215,
nicholas kuhn,,university of virginia,B Only,man,white,noturm,moreri,professor,moresecure,math,690,
alan reid,,rice university,B Only,man,white,noturm,moreri,professor,moresecure,math,1407,
effie kalfagianni,,michigan state university,B Only,woman,white,noturm,moreri,professor,moresecure,math,437,
arkady berenstein,Russia,university of oregon,B Only,man,white,noturm,moreri,professor,moresecure,math,1145,
jacob greenstein,,university of california riverside,B Only,man,white,noturm,moreri,professor,moresecure,math,124,
peter winkler,,dartmouth college,B Only,man,white,noturm,moreri,professor,moresecure,math,1204,
steve kerckhoff,,stanford university,B Only,man,white,noturm,moreri,professor,moresecure,math,931,
Morwen Thistlethwaite,,university of tennessee,B Only,man,white,noturm,moreri,professor,moresecure,math,853,
tao li,China,boston college,B Only,man,asian,noturm,moreri,professor,moresecure,math,204,
terence tao,,university of california los angeles,B Only,man,asian,noturm,moreri,professor,moresecure,math,15430,yes
kenneth c millett,,university of california santa barbara,B Only,man,white,noturm,moreri,professor,moresecure,math,1671,
michel l lapidus,,university of california riverside,B Only,man,white,noturm,moreri,professor,moresecure,math,1572,
robert l devaney,,boston university,B Only,man,white,noturm,moreri,professor,moresecure,math,2249,
ravi vakil,,stanford university,B Only,man,asian,noturm,moreri,professor,moresecure,math,827,
vladimir retakh,Russia,rutgers university,B Only,man,white,noturm,moreri,professor,moresecure,math,971,
christopher j leininger,,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,443,
vladimir chernov,Russia,dartmouth college,B Only,man,white,noturm,moreri,professor,moresecure,math,152,
george pappas,,michigan state university,B Only,man,white,noturm,moreri,professor,moresecure,math,960,
shelly harvey,,rice university,B Only,woman,white,noturm,moreri,professor,moresecure,math,310,
victor turchin,Russia,Rutgers university,B Only,man,white,noturm,moreri,professor,moresecure,math,245,
niels grä_ä__nbech jensen,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,9,
ezra getzler,,northwestern university,B Only,man,white,noturm,moreri,professor,moresecure,math,2214,
heide gluesing luerssen,,university of kentucky,B Only,woman,white,noturm,moreri,professor,moresecure,math,263,
jared wunsch,,northwestern university,B Only,man,white,noturm,moreri,professor,moresecure,math,449,
michael s waterman,,university of southern california,B Only,man,white,noturm,moreri,professor,moresecure,math,606,
rafael de la llave,,georgia institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,2250,
patrick fitzsimmons,,university of california san diego,B Only,man,white,noturm,moreri,professor,moresecure,math,828,
viktor ginzburg,Russia,university of california santa cruz,B Only,man,white,noturm,moreri,professor,moresecure,math,979,
roxana smarandache,Romania,university of notre dame,B Only,woman,white,noturm,moreri,professor,moresecure,math,235,
raphael rouquier,,university of california los angeles,B Only,man,white,noturm,moreri,professor,moresecure,math,1476,
alexey cheskidov,Russia,university of illinois at chicago,B Only,man,white,noturm,moreri,professor,moresecure,math,568,
natasa pavlovic,Serbia,university of texas at austin,B Only,woman,white,noturm,moreri,professor,moresecure,math,788,
sorin popa,Romania,university of california los angeles,B Only,man,white,noturm,moreri,professor,moresecure,math,3197,
yi ni,China,california institute of technology,B Only,man,asian,noturm,moreri,professor,moresecure,math,375,
pavel guerzhoy,Russia,university of hawaii at manoa,B Only,man,white,noturm,moreri,professor,moresecure,math,153,
juan migliore,,university of notre dame,B Only,man,white,noturm,moreri,professor,moresecure,math,1280,
misha vishik,Russia,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,604,
david b rush,,university of california riverside,B Only,man,white,noturm,moreri,professor,moresecure,math,18,
larry goldstein,,university of southern california,B Only,man,white,noturm,moreri,professor,moresecure,math,866,
max lieblich,,university of washington,B Only,man,white,noturm,moreri,professor,moresecure,math,320,
nigel boston,,university of wisconsin,B Only,man,white,noturm,moreri,professor,moresecure,math,352,
joseph a biello,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,104,
kevin o'bryant,,city university of new york,B Only,man,white,noturm,moreri,professor,moresecure,math,138,
lorenzo sadun,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,633,
kui ren,China,columbia university,B Only,man,asian,noturm,moreri,professor,moresecure,math,365,
gordan zitkovic,Serbia,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,248,
william beckner,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,1091,
francesco maggi,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,1098,
abhijit champanerkar,,city university of new york,B Only,man,asian,noturm,moreri,professor,moresecure,math,221,
thomas chen,,university of texas at austin,B Only,man,asian,noturm,moreri,professor,moresecure,math,571,
david a vogan,,massachusetts institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,2213,
monica vazirani,,university of california davis,B Only,woman,NA,NA,moreri,professor,moresecure,math,252,
raymond heitmann,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,289,
todd arbogast,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,1720,
evans harrell,,georgia institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,713,
anton kapustin,Russia,california institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,920,
chris miller,,ohio state university,B Only,man,white,noturm,moreri,professor,moresecure,math,734,
percy deift,,new york university,B Only,man,white,noturm,moreri,professor,moresecure,math,5110,
ivan blank,,kansas state university,B Only,man,white,noturm,moreri,professor,moresecure,math,78,
deane yang,,new york university,B Only,man,asian,noturm,moreri,professor,moresecure,math,2272,
richard borcherds,,university of california berkeley,B Only,man,white,noturm,moreri,professor,moresecure,math,1760,yes
alexander yong,,university of illinois,B Only,man,asian,noturm,moreri,professor,moresecure,math,415,
mark rudelson,Russia,university of michigan,B Only,man,white,noturm,moreri,professor,moresecure,math,1094,
nikos tzirakis,,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,390,
burak erdogan,Turkey,university of illinois,B Only,man,middleeast,noturm,moreri,professor,moresecure,math,554,
lou van den dries,Netherlands,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,2468,
margaret a readdy,,university of kentucky,B Only,woman,white,noturm,moreri,professor,moresecure,math,274,
richard ehrenborg,,university of kentucky,B Only,man,white,noturm,moreri,professor,moresecure,math,723,
peter perry,,university of kentucky,B Only,man,white,noturm,moreri,professor,moresecure,math,910,
zhongwei shen,China,university of kentucky,B Only,man,asian,noturm,moreri,professor,moresecure,math,1391,
pavel etingof,Russia,massachusetts institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,4522,
crichton ogle,,ohio state university,B Only,man,white,noturm,moreri,professor,moresecure,math,43,
michael davis,,ohio state university,B Only,man,white,noturm,moreri,professor,moresecure,math,1738,
oleg viro,Russia,stony brook university,B Only,man,white,noturm,moreri,professor,moresecure,math,1285,
andrzej derdzinski,Poland,ohio state university,B Only,man,white,noturm,moreri,professor,moresecure,math,527,
dennis a hejhal,,university of minnesota,B Only,man,white,noturm,moreri,professor,moresecure,math,999,
vladimir drinfeld,Russia,university of chicago,B Only,man,white,noturm,moreri,professor,moresecure,math,5027,
nat smale,,university of utah,B Only,man,white,noturm,moreri,professor,moresecure,math,56,
igor rivin,Russia,temple university,B Only,man,white,noturm,moreri,professor,moresecure,math,668,
alexander barvinok,Russia,university of michigan,B Only,man,white,noturm,moreri,professor,moresecure,math,1179,
john r klein,,wayne state university,B Only,man,white,noturm,moreri,professor,moresecure,math,339,
bo guan,China,ohio state university,B Only,man,asian,noturm,moreri,professor,moresecure,math,686,
elham izadi,Iran,university of california san diego,B Only,woman,middleeast,noturm,moreri,professor,moresecure,math,106,
martin scharlemann,,university of california santa barbara,B Only,man,white,noturm,moreri,retired,moresecure,math,1167,
marc culler,,university of illinois at chicago,B Only,man,white,noturm,moreri,retired,moresecure,math,1629,
ronald fintushel,,michigan state university,B Only,man,white,noturm,moreri,retired,moresecure,math,1094,
