name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
ronald j stern,university of california irvine,2746,23,1973,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1703,FALSE
tanya khovanova,massachusetts institute of technology,229,6,2007,B Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
alejandro adem,university of british columbia,,,1986,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,TRUE,,FALSE
alexander rashkovskii,university of stavanger,,,,B Only,man,highered,international,moreri,norway,professor,moresecure,math,mathstat,FALSE,,FALSE
alexandre eremenko,purdue university,4159,30,1979,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1594,FALSE
alexander turbiner,national university of mexico,4933,34,,B Only,man,highered,international,moreri,mexico,professor,moresecure,math,mathstat,FALSE,,FALSE
andrew zeng,,,,,B Only,man,,,,,,,,,FALSE,,FALSE
dean menezes,university of california los angeles,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
lisa traynor,bryn mawr college,,,1992,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
yuri bilu,university of bordeaux,2094,22,1993,B Only,man,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
thibaud taillefumier,university of texas at austin,,,,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
donald richards,pennsylvania state university,,,1978,B Only,man,highered,domesticr1,moreri,,professor,moresecure,stat,mathstat,TRUE,,FALSE
ariana,,,,,B Only,woman,,,,,,,,,FALSE,,FALSE
timothy perutz,university of texas at austin,275,9,2005,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
justin campbell,california institute of technology,,,,B Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
dennis eichhorn,university of california irvine,,,1972,B Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
adam prenosil,vanderbilt university,,,,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
monica vazirani,university of california davis,659,13,1999,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,252,FALSE
nate levi,university of california davis,,,,B Only,man,,domesticr1,moreri,,,,,,FALSE,,FALSE
boris mityagin,ohio state university,2832,30,,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,1142,FALSE
robert franzosa,university of maine,,,1984,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
azriel levy,hebrew university of jerusalem,,,1958,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
tom richmond,western kentucky university,,,,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ori gurel gurevich,hebrew university of jerusalem,381,10,2008,B Only,man,highered,international,moreri,israel,associate,moresecure,math,mathstat,FALSE,,FALSE
raymond heitmann,university of texas at austin,,,1974,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,289,FALSE
andrew granville,university of montreal,5146,35,1987,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,TRUE,,FALSE
ronald solomon,ohio state university,,,1971,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,865,FALSE
illya serdyuk,,,,,B Only,man,,,,,,,,,FALSE,,FALSE
matthew snyder,kent state university,,,,B Only,man,highered,domesticr2,lessri,,,,,,FALSE,,FALSE
svetlana jitomirskaya,university of california irvine,2957,29,1981,B and C,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1240,FALSE
willard miller,university of minnesota,,,1963,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,1431,FALSE
anton gorodetski,university of california irvine,876,18,2001,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,403,FALSE
todd arbogast,university of texas at austin,5988,36,1987,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1720,FALSE
bogdan doytchinov,elizabethtown college,,,1997,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
evans harrell,georgia institute of technology,4042,33,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,713,FALSE
christopher j larsen,worcester polytechnic institute,868,13,2002,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
anton kapustin,california institute of technology,9099,50,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,920,FALSE
michael smith,university of california berkeley,,,2010,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
chris miller,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,734,FALSE
percy deift,new york university,12810,53,1976,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,5110,FALSE
hamid hezari,university of california irvine,,,2009,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
kasun fernando,university of toronto,,,,B Only,man,highered,international,moreri,canada,ntt,lesssecure,math,mathstat,FALSE,,FALSE
william j martin,worcester polytechnic institute,1373,18,2017,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
mark sapir,vanderbilt university,3108,30,1983,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1495,FALSE
larry cahill,university of california irvine,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
lev deych,queens college of cuny,1869,24,,B Only,man,highered,domesticother,lessri,,professor,moresecure,other,other ,FALSE,,FALSE
sean lawton,george mason university,347,11,2006,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
alexander lisyansky,queens college of cuny,3365,32,,B Only,man,highered,domesticother,lessri,,professor,moresecure,other,other ,FALSE,,FALSE
maria lioudyno,university of california irvine,,,,B Only,woman,highered,domesticr1,moreri,,associate,moresecure,other,other ,FALSE,,FALSE
vrege amirkhanian,arkansas tech university,,,,B Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
anna lena horlemann,st gallen,491,13,,B Only,woman,highered,international,moreri,switzerland,assistant,lesssecure,math,mathstat,FALSE,,FALSE
david hansen,max planck institute for mathematics,,,2013,B Only,man,highered,international,moreri,germany,,,math,mathstat,FALSE,,FALSE
ivan blank,kansas state university,150,7,2000,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,78,FALSE
jeff cheeger,courant institute new york university,,,1967,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,5725,FALSE
pawel gburzynski,university of alberta,,,1982,B Only,man,highered,international,moreri,canada,retired,moresecure,comp,other ,FALSE,,FALSE
andrew staats,university of colorado,,,,B Only,man,highered,domesticr1,moreri,,staff,lesssecure,other,other ,FALSE,,FALSE
eleftherios gkioulekas,university of texas rio grande valley,206,7,2006,B Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
john lott,university of california berkeley,5063,30,1983,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1843,FALSE
jon eugster,university of edinburgh,,,,B Only,man,highered,international,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
david duncan,james madison university,,,2001,B Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
vadym kurylenko,university of hamburg,,,1996,B Only,man,highered,international,moreri,germany,grad,lesssecure,math,mathstat,FALSE,,FALSE
chad w jessup,,,,,B Only,man,,,,,,,,,FALSE,,FALSE
vladimir mandelshtam,university of california irvine,6536,41,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
deane yang,new york university,4119,31,1983,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2272,FALSE
richard borcherds,university of california berkeley,4636,25,1985,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1760,yes
sarah dean rasmussen,university of cambridge,,,2009,B Only,woman,highered,international,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
jacob rasmussen,university of cambridge,,,2003,B Only,man,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
mengyuan zhang,university of california berkeley,,,2018,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
christophe lecomte,,,,2007,B Only,man,,,,,,,,,FALSE,,FALSE
jim simons,simons foundation,,,,B and C,man,nothighered,,,,,,,,FALSE,,FALSE
scott armstrong,courant institute new york university,1476,23,2009,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,738,FALSE
mirela ciperiani,university of texas at austin,91,5,2006,B Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
misha gromov,new york university,,,,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,12356,FALSE
alexander yong,university of illinois,1054,19,2003,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,415,FALSE
jonathan novak,university of california san diego,347,11,,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
mark rudelson,university of michigan,,,1997,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1094,FALSE
nikos tzirakis,university of illinois,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,390,FALSE
vasileios chousionis,university of connecticut,,,,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
burak erdogan,university of illinois,1005,19,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,554,FALSE
lou van den dries,university of illinois,,,1978,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,2468,FALSE
