name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
martin r bridson,university of oxford,,,1991,B and C,man,highered,international,moreri,,professor,moresecure,math,mathstat,TRUE,,FALSE
federico rodriguez hertz,pennsylvania state university,,,,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,392,FALSE
margaret a readdy,university of kentucky,709,16,1993,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,274,FALSE
michael saks,rutgers university,8191,50,1980,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1098,FALSE
richard ehrenborg,university of kentucky,2128,24,1993,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,723,FALSE
wai yan pong,california state university dominguez hills,,,,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
misha lyubich,stony brook university,,,,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1729,FALSE
dorina mitrea,baylor university,1300,18,1996,B Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
moshe dinowitz,city university of new york,,,,B Only,man,highered,domesticr1,moreri,,,,,,FALSE,,FALSE
peter perry,university of kentucky,2388,27,1981,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,910,FALSE
andrei martinez finkelshtein,baylor university,1961,27,,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
vyacheslav m abramov,,,,2004,B Only,man,,,,,,,,,FALSE,,FALSE
emily norton,tu kaiserslautern,,,2012,B Only,woman,highered,international,moreri,germany,,,math,mathstat,FALSE,,FALSE
daria poliakova,university of copenhagen,,,,B Only,woman,highered,international,moreri,denmark,grad,lesssecure,math,mathstat,FALSE,,FALSE
serge ochanine,university of kentucky,,,1978,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,TRUE,,FALSE
zhenghe zhang,university of california riverside,125,7,2014,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
zhongwei shen,university of kentucky,,,1989,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1391,FALSE
danny crytser,saint lawrence university,,,,B Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
